Cód. de Repartición,Descripción Repartición,Estructura,Repartición Padre,Jurisdicción y Adm. Presupuesto,,
INT,Intendencia,Intendencia,INT,INT,,
SP#INT,Secretaría Privada,Dirección,INT,INT,,
SLYT,Secretaría Legal y Técnica ,Secretaría,INT,SLYT ,,
SGYA,Secretaría de Gobierno y Administración ,Secretaría,INT,SGYA,,
DA#SGYA,Dirección de Administración,Dirección,SGYA,SGYA,,
DEPER#SGYA,        Departamento de personal ,Departamento,DA#SGYA,SGYA,,
DEPAT#SGYA,Departamento Patrimonial ,Departamento,DA#SGYA,SGYA,,
DEJV#SGYA,        Departamento de Juntas Vecinales ,Departamento,DA#SGYA,SGYA,,
DEME#SGYA,Departamento de Medio Ambiente ,Departamento,DA#SGYA,SGYA,,
DEPC#SGYA,        Departamento Prensa y Ceremonial ,Departamento,DA#SGYA,SGYA,,
DPC#SGYA,Dirección de Protección Ciudadana ,Dirección,SGYA,SGYA,,
DET#SGYA,        Departamento de Tránsito ,Departamento,DPC#SGYA,SGYA,,
DEPC#SGYA,        Departamento de Protección Civil ,Departamento,DPC#SGYA,SGYA,,
DESI#SGYA,        Departamento Seguridad Institucional ,Departamento,DPC#SGYA,SGYA,,
DELC#SGYA,        Departamento Licencias de Conducir ,Departamento,DPC#SGYA,SGYA,,
DIG#SGYA,Dirección de Inspectoría General ,Dirección,SGYA,SGYA,,
DEB#SGYA,        Departamento de Bromatología ,Departamento,DIG#SGYA,SGYA,,
DEC#SGYA,        Departamento Comercio ,Departamento,DIG#SGYA,SGYA,,
DDS#SGYA ,Dirección de Desarrollo Social ,Dirección,SGYA,SGYA,,
DEAM#SGYA,        Departamento de Adultos Mayores ,Departamento,DDS#SGYA ,SGYA,,
DICA#SGYA,                   División Casa de los Abuelos ,División ,DEAM#SGYA,SGYA,,
DEGD#SGYA,        Departamento Género y Diversidad ,Departamento,DDS#SGYA ,SGYA,,
DEAID#SGYA,        Departamento Atención Integral de Discapacidad ,Departamento,DDS#SGYA ,SGYA,,
DEESOE#SGYA,        Departamento Economía Social y Oficina de Empleo ,Departamento,DDS#SGYA ,SGYA,,
DEMF#SGYA,        Departamento de la Mujer y la Familia ,Departamento,DDS#SGYA ,SGYA,,
SEF,Secretaría de Economía y Finanzas,Secretaría,INT,SEF,,
DE#SEF,Dirección de Economía,Dirección,SEF,SEF,,
DES#SEF,           Departamento de Sistemas,Departamento,DE#SEF,SEF,,
DECS#SEF,           Departamento Compras y Suministros ,Departamento,DE#SEF,SEF,,
DEL#SEF,           Departamento de Licitaciones ,Departamento,DE#SEF,SEF,,
DEC#SEF,           Departamento Contable ,Departamento,DE#SEF,SEF,,
DR#SEF,Dirección de Rentas,Dirección,SEF,SEF,,
SOSP,Secretaría de Obras y Servicios Públicos ,Secretaría,INT,SOSP,,
SUOSP#SOSP,Subsecretaría de Obras y Servicios Públicos ,Subsecretaría,SOSP,SOSP,,
DOSP#SOSP,        Dirección de Obras y Servicios Públicos ,Dirección,SUOSP#SOSP,SOSP,,
DEV#SOSP,               Departamento Vial ,Departamento,DOSP#SOSP,SOSP,,
DEEP#SOSP,       Departamento Espacios Públicos ,Departamento,DOSP#SOSP,SOSP,,
DEAP#SOSP,               Departamento Alumbrado Público,Departamento,DOSP#SOSP,SOSP,,
DET#SOSP,               Departamento Técnico ,Departamento,DOSP#SOSP,SOSP,,
DPA#SOSP,               Departamento Parque Automotor ,Departamento,DOSP#SOSP,SOSP,,
DOP#SOSP, Dirección de Obras Particulares ,Dirección,SUOSP#SOSP,SOSP,,
DRA#SOSP, Dirección de Redes de Agua ,Dirección,SUOSP#SOSP,SOSP,,
STPCD,"Secretaría de Turismo, Producción, Cultura y Deportes ",Secretaría,INT,STPCD,,
DC#STPCD, Dirección de Cultura ,Dirección,STPCD,STPCD,,
DT#STPCD, Dirección de Turismo,Dirección,STPCD,STPCD,,
DD#STPCD, Dirección de Deportes,Dirección,STPCD,STPCD,,
DEJ#STPCD,                 Departamento Juventud ,Departamento,DD#STPCD,STPCD,,
DP#STPCD, Dirección de Producción,Dirección,STPCD,STPCD,,
DIGC#STPCD,                                      División de Gestión de Cannabis ,Dirección,DP#STPCD,STPCD,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,21,KM# 447
,,,,,26,KM# 466
,,,,,30,KM# 446
,,,,,23,KM# 448